               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  61,            0.031176,            0.024371,           0.0010435,             0.75707,              0.7265,             0.77632,             0.55114,             0.03259,            0.011896,          0.00066047,            0.008812,            0.008812,            0.008812
                  62,            0.031126,            0.024265,            0.001029,              0.7587,             0.72319,             0.77642,             0.55175,            0.032547,            0.011897,          0.00065989,           0.0087922,           0.0087922,           0.0087922
                  63,            0.031136,            0.024275,           0.0010441,             0.75531,             0.72655,             0.77729,             0.55253,            0.032522,            0.011897,          0.00066099,           0.0087724,           0.0087724,           0.0087724
                  64,             0.03107,            0.024226,           0.0010442,             0.75457,             0.72837,             0.77753,             0.55298,            0.032506,            0.011891,          0.00066318,           0.0087526,           0.0087526,           0.0087526
                  65,            0.031006,            0.024203,           0.0010326,             0.75875,              0.7258,             0.77801,             0.55384,            0.032491,            0.011887,          0.00067154,           0.0087328,           0.0087328,           0.0087328
                  66,            0.030833,            0.024054,           0.0010275,             0.76269,             0.72416,             0.77816,             0.55443,             0.03246,            0.011886,          0.00067753,            0.008713,            0.008713,            0.008713
                  67,            0.030942,            0.024115,           0.0010552,             0.76806,             0.71713,             0.77823,             0.55518,            0.032445,            0.011884,          0.00068463,           0.0086932,           0.0086932,           0.0086932
                  68,            0.030863,             0.02404,           0.0010443,             0.76372,             0.72324,             0.77833,             0.55579,            0.032433,            0.011883,          0.00068803,           0.0086734,           0.0086734,           0.0086734
                  69,            0.030867,            0.023939,           0.0010586,              0.7682,             0.72043,             0.77903,             0.55656,            0.032414,            0.011877,          0.00069122,           0.0086536,           0.0086536,           0.0086536
                  70,            0.030724,            0.023826,           0.0010269,             0.76849,             0.71894,             0.77952,             0.55728,             0.03239,             0.01187,          0.00069222,           0.0086338,           0.0086338,           0.0086338
                  71,             0.03073,            0.023942,           0.0010522,              0.7662,             0.72227,             0.78008,             0.55782,            0.032357,            0.011867,          0.00069308,            0.008614,            0.008614,            0.008614
                  72,            0.030654,            0.023878,           0.0010282,             0.76588,             0.72297,             0.78021,             0.55831,            0.032332,            0.011861,          0.00069774,           0.0085942,           0.0085942,           0.0085942
                  73,            0.030518,            0.023747,          0.00099197,             0.76883,             0.72089,             0.78096,              0.5595,            0.032313,            0.011862,          0.00069593,           0.0085744,           0.0085744,           0.0085744
                  74,            0.030489,            0.023721,           0.0010047,             0.76892,             0.72332,             0.78159,             0.56014,              0.0323,            0.011851,          0.00069102,           0.0085546,           0.0085546,           0.0085546
                  75,            0.030337,            0.023714,           0.0010063,             0.76459,             0.72772,             0.78212,             0.56085,            0.032281,            0.011845,          0.00069279,           0.0085348,           0.0085348,           0.0085348
                  76,            0.030369,             0.02371,           0.0010108,             0.76535,             0.72741,             0.78251,             0.56162,             0.03226,            0.011841,          0.00069613,            0.008515,            0.008515,            0.008515
                  77,            0.030399,            0.023697,           0.0010009,             0.76395,              0.7296,             0.78259,             0.56183,            0.032226,            0.011838,          0.00070125,           0.0084952,           0.0084952,           0.0084952
                  78,            0.030273,            0.023673,           0.0010245,             0.76526,             0.72825,             0.78276,             0.56206,            0.032221,            0.011835,          0.00069935,           0.0084754,           0.0084754,           0.0084754
                  79,            0.030125,             0.02357,          0.00098929,             0.76438,             0.72975,             0.78278,             0.56268,            0.032204,            0.011827,          0.00070371,           0.0084556,           0.0084556,           0.0084556
                  80,            0.030281,            0.023691,          0.00099586,             0.76471,             0.72891,             0.78314,             0.56302,            0.032182,            0.011825,          0.00070019,           0.0084358,           0.0084358,           0.0084358
                  81,            0.030213,            0.023612,           0.0009747,             0.76618,             0.72775,             0.78345,             0.56338,            0.032162,            0.011827,          0.00069707,            0.008416,            0.008416,            0.008416
